customer_name,number_plate,fuel_type,time_in,time_out
Sawyer,KL-39-CW-0751,CNG,2020-05-27 00:36:17,2020-08-01 19:31:38
Bellanca,MH-19-CX-0752,LPG,2020-04-01 08:21:47,2020-01-10 14:14:26
Bellanca,WB-01-CY-0753,deisel,2020-06-05 00:18:41,2020-09-23 18:48:33
Janelle,HR-18-CZ-0754,electric,2020-06-12 13:30:38,2020-09-23 23:45:05
Sheffie,KA-12-DA-0755,electric,2020-09-25 09:41:27,2020-09-07 09:12:58
Geoff,HR-86-DB-0756,electric,2020-02-21 02:15:56,2020-03-25 05:45:20
Bordy,HR-43-DC-0757,deisel,2020-05-07 20:02:43,2020-09-17 20:24:47
Obediah,PB-45-DD-0758,deisel,2020-03-20 00:43:34,2020-02-25 14:59:30
Bordie,HR-06-DE-0759,CNG,2019-11-05 14:57:00,2020-07-10 00:23:03
Viv,MH-04-DF-0760,petrol,2019-11-13 01:28:05,2020-08-24 22:47:13
Ingeborg,OD-04-DG-0761,CNG,2020-05-31 06:22:49,2020-03-30 15:04:54
Loretta,AS-05-DH-0762,petrol,2020-06-25 22:18:12,2019-10-16 14:25:44
Carly,MN-03-DI-0763,electric,2020-02-21 06:24:37,2019-12-31 05:32:29
Melinda,HR-20-DJ-0764,LPG,2020-04-05 17:37:00,2019-12-09 06:55:38
Rafael,MH-30-DK-0765,petrol,2019-11-10 08:32:23,2020-04-11 15:02:55
Tedman,KA-29-DL-0766,petrol,2020-08-15 15:54:42,2020-02-21 03:19:56
Cecil,KL-20-DM-0767,petrol,2020-05-12 02:19:16,2019-11-23 05:07:14
Milzie,HR-72-DN-0768,electric,2020-07-13 06:35:20,2020-07-20 05:29:22
Stewart,MP-15-DO-0769,deisel,2020-07-12 12:59:51,2020-03-03 06:48:35
Consuela,HR-65-DP-0770,CNG,2019-12-15 18:40:35,2020-02-06 07:45:38
Pernell,KA-44-DQ-0771,petrol,2020-08-25 19:00:14,2019-11-28 16:32:51
Martie,GA-05-DR-0772,petrol,2020-01-21 01:26:02,2020-07-23 12:57:50
Ayn,DL-13-DS-0773,petrol,2019-12-05 21:47:18,2020-07-29 07:37:32
Alberik,HR-45-DT-0774,CNG,2019-11-30 06:18:12,2020-04-21 03:54:31
Eryn,UP-21-DU-0775,CNG,2020-03-30 07:10:46,2020-04-30 12:07:49
Brunhilde,RJ-43-DV-0776,LPG,2020-05-24 04:20:12,2020-01-02 03:53:58
Thornie,WB-01-DW-0777,CNG,2020-08-12 07:11:24,2020-02-02 02:07:34
Jenifer,UP-57-DX-0778,electric,2020-04-03 19:13:17,2020-03-18 02:17:21
Ray,KA-09-DY-0779,deisel,2020-01-24 14:41:15,2020-01-21 11:59:48
Tudor,HP-54-DZ-0780,deisel,2020-06-28 07:53:07,2020-06-15 08:55:33
Onofredo,AP-36-EA-0781,petrol,2020-04-08 14:57:09,2020-01-02 23:23:24
Cammie,WB-89-EB-0782,CNG,2020-01-16 22:34:26,2020-08-06 14:40:50
Ashia,UP-45-EC-0783,CNG,2020-06-07 09:24:54,2020-06-08 05:20:43
