RFID,customer_name,number_plate,fuel_type,time_in,time_out
5f89a540fc13ae35af000000,Skelly,CG-11-JP-0250,petrol,2019-12-22 14:29:00,2020-10-06 20:08:00
5f89a540fc13ae35af000001,Joey,KA-25-JQ-0251,LPG,2020-08-23 22:31:00,2020-06-23 20:25:00
5f89a540fc13ae35af000002,Murray,TN-41-JR-0252,petrol,2020-08-23 06:45:00,2019-12-03 01:58:00
5f89a540fc13ae35af000003,Cathrin,KA-51-JS-0253,electric,2020-04-25 19:58:00,2019-12-30 06:48:00
5f89a540fc13ae35af000004,Irena,TN-07-JT-0254,deisel,2019-12-11 20:04:00,2020-08-21 23:06:00
5f89a540fc13ae35af000005,Carena,KL-35-JU-0255,LPG,2019-11-13 18:37:00,2019-10-17 07:09:00
5f89a540fc13ae35af000006,Sephira,TN-60-JV-0256,petrol,2019-12-23 19:36:00,2019-11-08 06:07:00
5f89a540fc13ae35af000007,Javier,HR-72-JW-0257,electric,2020-03-04 06:27:00,2020-01-28 10:06:00
5f89a540fc13ae35af000008,Hunt,OD-15-JX-0258,deisel,2020-06-10 17:50:00,2020-04-29 17:08:00
5f89a540fc13ae35af000009,Basilius,KA-27-JY-0259,LPG,2020-08-05 20:39:00,2019-11-25 19:07:00
5f89a540fc13ae35af00000a,Rafi,UP-56-JZ-0260,petrol,2020-02-13 19:50:00,2020-03-24 15:02:00
5f89a540fc13ae35af00000b,Kara,MH-36-KA-0261,LPG,2020-09-12 05:49:00,2020-04-18 08:51:00
5f89a540fc13ae35af00000c,Orlan,AS-20-KB-0262,CNG,2019-11-17 14:53:00,2020-10-01 19:06:00
5f89a540fc13ae35af00000d,Hollis,HP-47-KC-0263,deisel,2020-05-08 10:50:00,2020-02-01 12:14:00
5f89a540fc13ae35af00000e,Winfield,MP-06-KD-0264,electric,2020-05-13 17:26:00,2020-01-31 05:27:00
5f89a540fc13ae35af00000f,Evered,HR-44-KE-0265,electric,2020-09-04 11:48:00,2019-12-12 22:35:00
5f89a540fc13ae35af000010,Nils,DL-4-KF-0266,electric,2020-09-19 01:10:00,2019-11-02 02:54:00
5f89a540fc13ae35af000011,Inness,NL-04-KG-0267,CNG,2020-10-13 20:33:00,2020-04-12 10:38:00
5f89a540fc13ae35af000012,Minetta,OD-31-KH-0268,deisel,2020-09-16 19:37:00,2020-05-03 17:46:00
5f89a540fc13ae35af000013,Noemi,AP-31-KI-0269,LPG,2020-08-31 04:13:00,2020-08-23 08:01:00
5f89a540fc13ae35af000014,Dulci,KA-19-KJ-0270,LPG,2019-10-24 19:26:00,2020-01-26 19:42:00
5f89a540fc13ae35af000015,Johnette,UP-45-KK-0271,petrol,2020-08-22 12:46:00,2020-04-18 02:12:00
5f89a540fc13ae35af000016,Herbie,GJ-33-KL-0272,deisel,2020-06-30 09:23:00,2020-05-25 18:49:00
5f89a540fc13ae35af000017,Kennan,NL-05-KM-0273,CNG,2020-09-20 09:07:00,2020-08-27 08:19:00
