number_plate,card_type,name_on_card,card_number,expiry_date
KL-39-CW-0751,debit,Brander,340967370345430,09/20
MH-19-CX-0752,credit,Hebert,348299581745865,10/23
WB-01-CY-0753,debit,Maurie,346650445514271,12/20
HR-18-CZ-0754,debit,Yoshi,346417229774517,03/23
KA-12-DA-0755,debit,Gardiner,344263432244472,10/20
HR-86-DB-0756,credit,Saloma,349908070401561,09/22
HR-43-DC-0757,credit,Melodie,348812391381349,11/22
PB-45-DD-0758,debit,Bartie,349584108842884,10/24
HR-06-DE-0759,debit,Elias,344333397551102,09/22
MH-04-DF-0760,credit,Arleta,346309098879032,02/22
OD-04-DG-0761,credit,Marsiella,341210225497778,06/23
AS-05-DH-0762,debit,Smitty,344942406210938,07/24
MN-03-DI-0763,debit,Edith,342653400680511,04/24
HR-20-DJ-0764,credit,Seana,346192641672066,11/22
MH-30-DK-0765,debit,Aigneis,346454904408012,10/20
KA-29-DL-0766,debit,Deny,349600563191672,08/20
KL-20-DM-0767,debit,Yettie,346474812446847,11/21
HR-72-DN-0768,credit,Rad,347381656585912,02/21
MP-15-DO-0769,credit,Chiquia,344875548399971,01/20
HR-65-DP-0770,credit,Westbrooke,342516182217598,07/20
KA-44-DQ-0771,debit,Murielle,344408255417149,08/20
GA-05-DR-0772,debit,Paco,348818756590903,06/22
DL-13-DS-0773,credit,Shirlee,340729473752379,06/24
HR-45-DT-0774,debit,Kalinda,342045257597379,12/23
UP-21-DU-0775,debit,Sonnie,349976997436853,05/20
RJ-43-DV-0776,debit,Rosalinda,342412138120591,10/22
WB-01-DW-0777,credit,Nahum,342883261521724,06/22
UP-57-DX-0778,credit,Siana,340613704539617,02/24
KA-09-DY-0779,debit,Durand,341117956392740,03/21
HP-54-DZ-0780,credit,Ibrahim,348508339684618,12/21
AP-36-EA-0781,credit,Iolande,344037897014111,04/24
WB-89-EB-0782,debit,Roseanne,347907316636404,02/20
UP-45-EC-0783,credit,Clare,349163171210558,02/23
MP-26-ED-0784,debit,Melvyn,342686402894003,08/23
BR-26-EE-0785,credit,Catrina,344000794511688,04/23
MH-43-EF-0786,debit,Adams,345296825341264,11/21
PB-29-EG-0787,credit,Fredrick,346255980061330,02/20
UP-60-EH-0788,credit,Ula,347005823227567,03/24
HR-44-EI-0789,credit,Creighton,341263045334028,05/24
HP-37-EJ-0790,credit,Pansy,341144146624154,03/23
HR-79-EK-0791,credit,Tine,346528972955333,11/22
PB-41-EL-0792,credit,Babs,348549752270493,08/20
OD-21-EM-0793,debit,Marwin,346161907539855,10/22
UP-84-EN-0794,credit,Albertina,349920121483514,03/23
WB-14-EO-0795,credit,Travus,348874179990030,11/21
HR-19-EP-0796,debit,Paten,348000790451356,06/21
JH-21-EQ-0797,debit,Boony,345578129159389,02/24
BR-56-ER-0798,debit,Pen,341563341244395,09/21
TN-79-ES-0799,credit,Pavia,344493252623659,03/20
KA-44-ET-0800,debit,Vladamir,344039756498260,10/22
OD-18-EU-0801,credit,Reinaldo,378805441994825,08/21
UA-04-EV-0802,debit,Wilmar,371353081558060,01/24
KL-06-EW-0803,credit,Annadiane,374045824364577,11/21
BR-10-EX-0804,credit,Annadiane,372103604060428,07/22
OD-18-EY-0805,debit,Denni,379927317952429,12/20
OD-04-EZ-0806,debit,Delmor,372648389255841,05/23
NL-01-FA-0807,credit,Cherye,378190078538579,12/24
OD-11-FB-0808,debit,Josias,371503373466790,08/21
AS-22-FC-0809,credit,Grove,376633027829096,05/20
HP-64-FD-0810,credit,Marlo,372875900123147,04/24
JK-11-FE-0811,credit,Diana,378322710572621,01/21
KA-56-FF-0812,credit,Tallie,371014235885912,08/22
UP-78-FG-0813,credit,Rog,372991398486928,08/20
BR-37-FH-0814,credit,Jennie,378054131626104,04/23
JK-14-FI-0815,debit,Horatio,373143730621338,06/23
KA-55-FJ-0816,debit,Cassondra,374174446003742,11/23
RJ-11-FK-0817,credit,Godfree,377298010243595,04/22
MH-46-FL-0818,credit,Dorry,375278469717432,03/24
DL-6-FM-0819,credit,Goddard,378511597070622,06/24
JK-09-FN-0820,credit,Drake,371856982369734,01/22
KL-22-FO-0821,debit,Halette,373159722472514,07/23
HP-12-FP-0822,debit,Bogey,373315624037868,06/24
GJ-26-FQ-0823,debit,Andie,375029306322443,03/21
JH-04-FR-0824,credit,Erhart,371124064482325,06/22
OD-07-FS-0825,credit,Ross,370831710385014,11/24
GJ-29-FT-0826,credit,Edvard,373832463274477,12/22
HR-21-FU-0827,credit,Chloris,376215231543299,04/20
KL-36-FV-0828,debit,Corilla,371686030603846,07/20
TN-78-FW-0829,debit,Damian,379138563427401,11/23
PB-08-FX-0830,debit,Ailsun,370460461831024,03/20
AR-13-FY-0831,credit,Linet,375440739738859,08/23
MP-22-FZ-0832,credit,Kristofer,377313313227581,06/20
HR-06-GA-0833,debit,Melany,379753599776363,12/21
WB-01-GB-0834,credit,Abba,372478586458992,01/21
PB-72-GC-0835,debit,Ortensia,374385689615535,10/21
UP-31-GD-0836,debit,Erina,372635283408451,08/23
KA-29-GE-0837,debit,Catie,378158042785501,05/20
HR-71-GF-0838,debit,Rob,373527594781842,04/22
MH-40-GG-0839,debit,Lilas,373632055955529,10/24
AR-01-GH-0840,credit,Jarrad,378075363829587,11/23
HP-34-GI-0841,debit,Mollie,374990449854207,09/22
GJ-36-GJ-0842,credit,Kipp,378630919108769,07/20
RJ-16-GK-0843,credit,Goldy,372662365317020,06/24
MP-10-GL-0844,debit,Gabriel,370546906852623,10/24
MP-09-GM-0845,credit,Isidora,378320804725774,06/24
MH-33-GN-0846,credit,Jenn,370932343590879,05/20
HR-30-GO-0847,debit,Carine,376033191018917,09/23
WB-61-GP-0848,credit,Skyler,371409052050691,12/23
KA-57-GQ-0849,credit,Othilie,370962329543949,04/21
RJ-43-GR-0850,credit,Dotty,372486485445952,06/20
JK-17-GS-0851,credit,Mufi,2595760838424710,04/23
MP-05-GT-0852,credit,Burr,2595111777204060,01/20
TN-50-GU-0853,debit,Jamey,2595102345513260,11/21
HR-62-GV-0854,credit,Filia,2595395589029280,12/21
HP-29-GW-0855,debit,Waldon,2595897071394040,09/20
AS-06-GX-0856,debit,Nevsa,2595956539453190,07/20
TN-31-GY-0857,credit,Erwin,2595902590009130,11/23
OD-29-GZ-0858,credit,Elonore,2595570880331740,11/22
HP-31-HA-0859,credit,Tyson,2595819081856550,05/21
ML-06-HB-0860,credit,Maisie,2595439115047520,05/20
KL-19-HC-0861,credit,Johann,2595119869900270,12/20
UP-45-HD-0862,debit,Levon,2595908695931620,10/22
MZ-06-HE-0863,credit,Shanda,2595487277582310,01/21
BR-29-HF-0864,credit,Brady,2595219983665340,06/20
WB-63-HG-0865,debit,Henrik,2595132738638920,01/23
PB-10-HH-0866,debit,Pall,2595559740403790,09/20
KL-40-HI-0867,debit,Bonny,2595805736154910,01/22
HP-07-HJ-0868,credit,Fonzie,2595148706761830,08/21
WB-74-HK-0869,debit,Maridel,2595214527207810,02/23
MP-34-HL-0870,credit,Joshuah,2595941856753030,04/22
PB-37-HM-0871,credit,Zollie,2595509548578900,07/22
AP-16-HN-0872,credit,Thebault,2595583352274850,12/20
CG-07-HO-0873,debit,Jayson,2595950640178070,05/24
DD-02-HP-0874,credit,Sheilakathryn,2595285474796040,01/23
RJ-11-HQ-0875,debit,Fina,2595484180850140,08/21
TN-30-HR-0876,credit,Barry,2595489018832650,07/23
WB-13-HS-0877,debit,Sheila-kathryn,2595418771208350,06/24
MP-70-HT-0878,credit,Raoul,2595696647428380,07/22
PB-63-HU-0879,debit,Waylon,2595876013817130,03/20
GJ-21-HV-0880,debit,Noelyn,2595339030852470,01/22
WB-06-HW-0881,debit,Lombard,2595176146507020,10/23
AS-10-HX-0882,credit,Doug,2595124779028030,08/24
MP-19-HY-0883,debit,Barr,2595951527959930,09/20
MH-25-HZ-0884,debit,Tallou,2595080872937610,05/20
HP-68-IA-0885,debit,Consolata,2595433251174170,04/20
RJ-06-IB-0886,debit,Miguelita,2595991025425630,12/20
KL-71-IC-0887,debit,Rennie,2595174608023080,01/22
KL-01-ID-0888,debit,Ad,2595519087228930,09/21
RJ-06-IE-0889,credit,Simon,2595664069654150,04/20
HP-14-IF-0890,debit,Ilysa,2595806900485790,08/21
MP-22-IG-0891,debit,Marwin,2595099064407260,02/23
TN-48-IH-0892,credit,Sherrie,2595323861591140,04/20
AN-01-II-0893,credit,Maxy,2595708596174960,06/24
HR-26-IJ-0894,credit,Adey,2595369925784460,05/23
KA-47-IK-0895,credit,Alysia,2595269705328530,06/23
GJ-28-IL-0896,debit,Darren,2595096701869040,10/24
MP-08-IM-0897,credit,Peggy,2595087904183360,09/23
HR-38-IN-0898,credit,Ham,2595779612050130,01/23
MH-10-IO-0899,credit,Berget,2595219029168540,10/20
HP-48-IP-0900,debit,Chad,2595763041986130,07/20
MP-06-IQ-0901,debit,Zebadiah,5104141065562160,01/21
OD-24-IR-0902,credit,Merrie,5165773094378620,04/21
KA-22-IS-0903,debit,Quincy,5188873307838090,10/20
AP-13-IT-0904,debit,Jill,5192946740298950,12/21
CH-02-IU-0905,debit,Tasia,5182340941559590,03/22
WB-31-IV-0906,credit,Leora,5172125220651910,12/23
WB-10-IW-0907,credit,Willabella,5186103122054260,05/23
MH-56-IX-0908,credit,Henryetta,5180960032686840,09/20
RJ-34-IY-0909,debit,Jori,5163623117123770,07/21
MP-27-IZ-0910,debit,Olivie,5159049544264390,08/20
KL-42-JA-0911,debit,Elysee,5160755377561830,02/22
MZ-08-JB-0912,credit,Boony,5138204620992730,09/20
DL-6-JC-0913,credit,Troy,5107439838666520,01/22
KL-47-JD-0914,debit,Rosemonde,5157726921707690,08/24
AS-23-JE-0915,credit,Zia,5145423382517790,07/22
TN-88-JF-0916,credit,Raynor,5120280530254170,03/20
UA-11-JG-0917,credit,Janel,5190841850134390,08/23
