number_plate,card_type,name_on_card,card_number,expiry_date
MH-40-JH-0918,debit,Shauna,4791311530812800,12/23
RJ-37-JI-0919,debit,Rudolfo,4261615520310350,11/23
HR-80-JJ-0920,debit,Jerome,4929312414762230,02/24
CG-07-JK-0921,debit,Carolynn,4675335450569570,07/21
GJ-13-JL-0922,debit,Kimberley,4440605724383090,07/24
WB-11-JM-0923,credit,Harmonia,4332388246756480,07/20
GJ-21-JN-0924,debit,Cheryl,4108189032283820,07/21
MP-47-JO-0925,credit,Sela,4756465101368350,06/21
AP-13-JP-0926,credit,Verina,4849484382369960,10/24
KL-11-JQ-0927,debit,Wilma,4330042240563950,02/23
CG-08-JR-0928,debit,Hillard,4834061109565230,08/23
PB-33-JS-0929,debit,Myrtle,4449919422273870,04/21
GJ-1-JT-0930,debit,Kiersten,4300918059051610,05/20
HP-19-JU-0931,credit,Alina,4156439560734640,04/23
MH-08-JV-0932,debit,Lauritz,4657776228655260,07/24
MP-20-JW-0933,credit,Eba,4773871949302210,01/21
AR-08-JX-0934,credit,Cosmo,4166249161894940,03/21
HP-11-JY-0935,credit,Beulah,4302378344166830,03/21
HP-30-JZ-0936,credit,Ignatius,4406887553949080,01/24
GJ-33-KA-0937,credit,Vita,4190353493240260,11/23
RJ-41-KB-0938,credit,Malia,4654940656047460,01/22
AR-11-KC-0939,debit,Estella,4469383007103130,04/22
SK-03-KD-0940,credit,Fenelia,4454125188545230,02/23
KL-69-KE-0941,credit,Fairleigh,4505826513323520,02/21
MP-43-KF-0942,credit,Fania,4421517807050790,06/24
GJ-8-KG-0943,credit,Thaddus,4797050564599740,03/24
PB-73-KH-0944,credit,Megan,4571456880284960,05/21
RJ-05-KI-0945,credit,Norbert,4017494409274680,02/23
TN-20-KJ-0946,credit,Fergus,4337509721116740,04/20
UP-47-KK-0947,credit,Rikki,4424882348346460,11/22
PB-18-KL-0948,credit,Anton,4990859727944140,04/23
GJ-18-KM-0949,debit,Gordan,4453057117035950,07/24
DL-4-KN-0950,credit,Roosevelt,4137243951919890,10/24
TN-77-KO-0951,credit,Jerry,4659880099029840,11/23
KL-42-KP-0952,credit,Darya,4653787480192680,06/21
MP-05-KQ-0953,debit,Allina,4582310349059720,08/21
KA-18-KR-0954,credit,Harwilll,4390092123267860,07/20
KA-25-KS-0955,credit,Ana,4467742184331310,02/20
MH-34-KT-0956,credit,Doris,4918944607564110,09/20
ML-09-KU-0957,credit,Peterus,4525063239787180,10/22
AS-26-KV-0958,debit,Fleur,4959090958876680,10/24
JK-14-KW-0959,credit,Kelcie,4388216795977510,11/23
HP-37-KX-0960,credit,Taite,4002336583130410,01/23
UP-95-KY-0961,credit,Brittan,4664981463519600,05/21
HR-43-KZ-0962,credit,Marion,4174958318783950,10/22
GJ-30-LA-0963,debit,Julianne,4171378541489390,06/24
RJ-26-LB-0964,debit,Rhys,4914215160310280,12/23
TN-38-LC-0965,credit,Ofella,4071521872080300,10/22
HR-44-LD-0966,credit,Camala,4102730946654700,07/22
KL-54-LE-0967,credit,Nicko,4186510063399780,11/20
HR-73-LF-0968,credit,Kathi,6076476533252020,02/21
RJ-31-LG-0969,debit,Falito,6084971699554360,02/21
UP-74-LH-0970,credit,Kippie,6029415951403060,08/20
TN-52-LI-0971,debit,Nikolas,6007819981129190,12/24
MP-01-LJ-0972,credit,Veda,6001182097395330,09/20
HR-26-LK-0973,credit,Krishna,6070123829272830,12/22
AS-07-LL-0974,credit,Celesta,6020293743060260,05/22
UP-53-LM-0975,credit,Pedro,6050255388498580,01/24
UP-61-LN-0976,credit,Dorothee,6097319363309300,06/21
MH-16-LO-0977,credit,Gaspard,6062588276211240,04/22
AP-01-LP-0978,credit,Ronna,6010587837455620,08/22
AS-14-LQ-0979,debit,Rorke,6006441828086880,09/24
PB-03-LR-0980,debit,Aloisia,6015055775333080,03/20
BR-07-LS-0981,debit,Jeremie,6046189007448630,07/24
HP-56-LT-0982,debit,Innis,6000473017336140,06/20
BR-01-LU-0983,credit,Morganne,6068589165449440,08/24
HP-76-LV-0984,debit,Rubia,6008727830572540,09/22
AR-10-LW-0985,debit,Glenine,6063169616732660,12/23
HP-53-LX-0986,credit,Marline,6064218030305380,09/22
PB-56-LY-0987,credit,Curran,6086479340504220,11/24
MH-10-LZ-0988,debit,Joete,6013192606424280,11/20
MH-38-MA-0989,credit,Alfy,6007531039142330,01/24
MP-34-MB-0990,debit,Rupert,6040638012654000,10/24
CG-24-MC-0991,debit,Shelba,6035120732145430,04/20
KA-10-MD-0992,credit,Louie,6035062203119170,06/23
AR-04-ME-0993,debit,Mora,6000601313496980,01/22
AP-31-MF-0994,credit,Cori,6028111970413210,06/21
MH-54-MG-0995,debit,Blakelee,6033701137075690,10/20
GJ-11-MH-0996,credit,Matthiew,6076694355804390,02/22
PB-23-MI-0997,debit,Melloney,6015525138780190,11/20
AR-15-MJ-0998,credit,Jenna,6049084521928130,06/22
AP-37-MK-0999,credit,Wrennie,6018406473321830,07/24
LD-04-ML-1000,debit,Lissa,6078711078167110,06/20
HP-26-TG-0501,debit,Celisse,6056664514125630,07/21
WB-09-TH-0502,credit,Randie,6023550769109190,04/23
DL-10-TI-0503,debit,Harriett,6016649804836650,11/21
WB-11-TJ-0504,debit,Atlanta,6094857016353400,04/22
AP-07-TK-0505,debit,Tallie,6031686533998900,12/24
CG-04-TL-0506,credit,Culley,6055865831748070,02/23
GJ-18-TM-0507,credit,Alaster,6069134438580390,04/24
HP-05-TN-0508,credit,Kerianne,6097500602827620,12/20
WB-14-TO-0509,credit,Bette-ann,6011453512720390,04/21
AP-27-TP-0510,credit,Isaak,6041461115715600,07/21
KL-42-TQ-0511,credit,Brooks,6096079474363770,07/20
RJ-05-TR-0512,credit,Flin,6008017388580280,01/21
MP-24-TS-0513,debit,Kylie,6074515836982490,08/20
PB-45-TT-0514,credit,Nicolis,6080234855760430,01/24
MZ-07-TU-0515,debit,Lauren,6082430313189110,08/20
HR-41-TV-0516,credit,Cal,6094762079448010,01/20
MH-24-TW-0517,debit,Kleon,6022495606443240,09/21
KL-50-TX-0518,credit,Pepe,6521832574292280,06/21
UP-91-TY-0519,credit,Dallas,6521061743938100,02/22
BR-10-TZ-0520,debit,Alexa,6521654583227390,09/20
GA-05-UA-0521,credit,Yul,6521602180863520,08/20
PB-27-UB-0522,credit,Gweneth,6521718159199130,06/21
NL-03-UC-0523,debit,Crosby,6521794835836340,08/24
UP-40-UD-0524,debit,Wait,6521393263010050,12/20
PB-66-UE-0525,debit,Nickolas,6521307040259360,07/24
RJ-07-UF-0526,debit,Heywood,6521222819480180,05/20
CG-04-UG-0527,credit,Aidan,6521949729153730,04/23
AP-10-UH-0528,debit,Karlotta,6521537487822520,01/24
MP-49-UI-0529,debit,Chere,6521062749848410,08/22
PB-71-UJ-0530,debit,Gordan,6521803049787940,06/23
AS-09-UK-0531,debit,Donielle,6521604433181770,08/23
PB-54-UL-0532,credit,Titos,6521620735759940,02/22
UP-91-UM-0533,credit,Zebadiah,6521746434199360,06/24
RJ-32-UN-0534,debit,Forester,6521190824732150,03/21
KA-19-UO-0535,credit,Cathe,6521558392022590,03/22
PB-36-UP-0536,debit,Roze,6521651238740090,11/22
KL-01-UQ-0537,credit,Stesha,6521436695747580,05/23
KA-07-UR-0538,credit,Carter,6521701762183750,06/23
AS-21-US-0539,credit,Ewart,6521916886920720,12/24
RJ-21-UT-0540,credit,Padgett,6521302155849510,06/23
CG-11-UU-0541,debit,Eddy,6521968349085180,10/21
HR-55-UV-0542,credit,Gae,6521304295482600,01/23
JH-09-UW-0543,debit,Hurley,6521113082500630,07/20
HR-12-UX-0544,debit,Saleem,6521669507785120,06/24
BR-22-UY-0545,credit,Opaline,6521997016122630,09/21
HP-23-UZ-0546,debit,Waly,6521635722569440,07/24
WB-61-VA-0547,credit,Ryon,6521760695685570,07/24
TN-42-VB-0548,credit,Dolly,6521110959989070,03/22
MZ-04-VC-0549,credit,Ole,6521150589698210,01/22
JK-04-VD-0550,debit,Jard,6521865682650100,10/24
HP-11-VE-0551,credit,Sherline,6521150331945720,03/21
PB-64-VF-0552,credit,Corty,6521087456889030,03/22
CG-21-VG-0553,debit,Freida,6521744326327200,10/24
PB-06-VH-0554,debit,Asher,6521130341232680,08/21
PB-73-VI-0555,credit,Prentiss,6521589510017080,02/23
UP-43-VJ-0556,debit,Zeke,6521243193944130,07/23
CG-01-VK-0557,credit,Jaimie,6521783131850550,08/20
KA-01-VL-0558,debit,Maryanne,6521542448537580,12/23
PB-21-VM-0559,debit,Quinton,6521568980553610,08/22
AP-31-VN-0560,credit,Oralee,6521186389312440,12/24
HR-21-VO-0561,credit,Chrissie,6521981573872560,05/23
KA-40-VP-0562,debit,Burke,6521579973094690,06/20
JK-02-VQ-0563,debit,Norean,6521297119917580,05/20
HP-17-VR-0564,debit,Armin,6521484179496290,08/22
KL-69-VS-0565,debit,Shawn,6521266263240970,02/24
HP-41-VT-0566,debit,Walt,6521188610460910,10/23
MH-47-VU-0567,credit,Dorothee,6521231172313240,01/22
UP-78-VV-0568,debit,Byram,6522440897968250,03/21
MZ-08-VW-0569,credit,Adela,6522991456958420,02/24
GJ-15-VX-0570,debit,Haley,6522273873204450,01/20
UP-73-VY-0571,debit,Paloma,6522131055653110,10/23
GJ-30-VZ-0572,debit,Tiffy,6522032111818160,06/20
HR-11-WA-0573,debit,Ogden,6522394583826060,04/24
HP-33-WB-0574,credit,Melodee,6522054408551140,03/20
KA-25-WC-0575,credit,Jackelyn,6522808247951990,10/22
JH-06-WD-0576,credit,Marchall,6522163989636810,07/24
HP-58-WE-0577,debit,Katinka,6522224292624670,10/20
TN-21-WF-0578,debit,Carmel,6522434902752750,02/22
TN-88-WG-0579,credit,Wilden,6522364484978510,10/20
PB-66-WH-0580,debit,Edyth,6522024448685170,05/22
HP-05-WI-0581,debit,Hughie,6522580308033930,01/22
OD-23-WJ-0582,debit,Robin,6522559884857170,08/24
UP-95-WK-0583,debit,Inessa,6522075667957670,08/20
MH-36-WL-0584,debit,Sandy,6522017718545080,06/20
